id,input_text,target_text
cd296804-38a8-4933-bd8f-62f52a786785,The movie was fantastic and enjoyable.,"In summary, The movie proved to be fantastic and enjoyable."
97c852f6-3ef8-4673-86d3-d563e7f7b746,He bought a new phone yesterday.,He bought a new phone yesterday
e497bd2c-3ed4-41bf-a64d-890876de979e,The movie was fantastic and enjoyable.,The movie was fantastic and
d4062e74-6b57-41b5-8749-5df5b379bfa0,The weather is cold and gloomy today.,The weather is cold and
4d15b806-101e-4373-8397-b525bf5fc61f,The food in that restaurant was delicious.,The food in that restaurant
c3c59357-0d6d-4825-99a7-89f5737aeacb,The product exceeded my expectations.,"In summary, The product exceeded my expectations."
e43f4960-770c-4c69-829a-e96ffa6756a2,I need help with my machine learning project.,I need help with my machine learning project.
345567bf-6767-4d6c-a69f-3bd97e059220,The laptop battery drains very quickly.,The laptop battery drains very quickly. It was a memorable experience overall.
f3fa5ba1-cf6e-4b44-a001-12885c6f61c3,I need help with my machine learning project.,I need help with my machine learning project. This happened recently and I felt it was worth mentioning.
ffca9a72-dd23-4536-899f-53d05aa72727,The service at the hotel was terrible.,The service at the hotel
06ed189a-0e56-4396-b866-a87c77b00417,She completed her assignment on time.,She completed her assignment on time
0200d372-5a02-42aa-aa6c-90c5a4c868fa,The food in that restaurant was delicious.,The food in that restaurant
0a4db7c8-6ddb-4e58-ac22-c008a3253070,She completed her assignment on time.,She completed her assignment on time. It was a memorable experience overall.
16f1ec77-c62c-4226-bfac-c84c48ea7541,She completed her assignment on time.,She completed her assignment on time.
01d7b59e-a367-4820-896e-70ca508e6911,She completed her assignment on time.,She completed her assignment on time.
375df360-dbce-418c-96c6-053fbc05565d,The food in that restaurant was delicious.,The food in that restaurant was tasty.
408b8d6f-86ef-4b92-a140-4453041576a9,I am planning to travel next month.,I am planning to travel next month
38b1e8fc-cc50-4fcd-b100-bfdd9df9cbd3,The food in that restaurant was delicious.,The food in that restaurant
d37b68ee-34b5-4427-a3c8-ee4d1720ba30,He bought a new phone yesterday.,He bought a new phone yesterday. It was a memorable experience overall.
2a2cc385-6356-4d45-8a68-cc2b5ac7bf44,I am planning to travel next month.,I am planning to travel next month. This happened recently and I felt it was worth mentioning.
bc108ff7-ebc9-4fc5-b891-91b73a8827b9,I need help with my machine learning project.,I need help with my machine learning project.
e30d4539-71b5-4d3c-990d-41306fdae582,I need help with my machine learning project.,I need help with my machine learning project
8edcd268-fd6d-49a8-8a3d-400d5be6f075,The weather is cold and gloomy today.,The weather is cold and gloomy today. It was a memorable experience overall.
1d8e9e8d-95ca-4a0a-a8ca-4ebd8801b6ae,I need help with my machine learning project.,I need help with my machine learning project.
0d6245ea-5636-41da-bc61-e3f8a7af3c02,The weather is cold and gloomy today.,The weather is cold and gloomy today. It was a memorable experience overall.
17536924-2411-49af-b1f5-ca5b5790404a,The laptop battery drains very quickly.,The laptop battery drains very quickly.
38967be7-0297-4fe3-996a-4bdba6a4130d,The food in that restaurant was delicious.,The food in that restaurant
1e133af1-4d16-4721-bd82-2c78a4f5ca2b,The movie was fantastic and enjoyable.,The movie was fantastic and enjoyable. It was a memorable experience overall.
a992dba3-98e9-42c0-b61d-39b6a89502ee,The weather is cold and gloomy today.,The weather is cold and gloomy today. It was a memorable experience overall.
d5e16744-ad81-4958-9889-67f39a6e4c19,He bought a new phone yesterday.,He bought a new phone yesterday. This happened recently and I felt it was worth mentioning.
5be9ed53-fa97-4080-be5f-66dc245afa43,The weather is cold and gloomy today.,The weather is cold and gloomy today
d1636a98-d9e0-4930-a020-16228154d18a,The service at the hotel was terrible.,The service at the hotel was terrible. This happened recently and I felt it was worth mentioning.
b57ff204-68a5-4725-b89c-880c1d72d56a,The product exceeded my expectations.,The product exceeded my expectations.
0858b8e6-ee31-4222-8efa-6142dbf96226,I am planning to travel next month.,I am planning to travel
1826ba6f-ffdf-4c8a-ad24-5aea434984a8,She completed her assignment on time.,She completed her assignment on time. It was a memorable experience overall.
442ee285-8bbf-4a97-9b6d-fb573fc4fc70,He bought a new phone yesterday.,He bought a new phone yesterday.
9d92ead6-fa17-4df6-8c42-6d2bf5177ffa,The product exceeded my expectations.,The product exceeded my expectations.
d63b43ae-3336-4ae5-8315-3da443a22851,The product exceeded my expectations.,The product was better than expected.
fc0316af-a6c5-4673-b4f6-d5823fcff907,The movie was fantastic and enjoyable.,The movie was fantastic and enjoyable. This happened recently and I felt it was worth mentioning.
e8477b3b-e832-4053-9f6f-377d9a02f156,The movie was fantastic and enjoyable.,"In summary, The movie proved to be fantastic and enjoyable."
77a395f9-4cf4-4288-a7e4-c523982c4ca2,She completed her assignment on time.,She completed her assignment on time.
2242d0cd-0ec6-4096-80e1-5972f2c4abd7,He bought a new phone yesterday.,He bought a new phone yesterday.
d482100e-e8eb-4dbd-84b9-40d7f332dea9,She completed her assignment on time.,She completed her assignment on time. It was a memorable experience overall.
6f666a8a-59b3-454c-aae0-1acdf71e472d,I need help with my machine learning project.,I need help with my machine learning project. This happened recently and I felt it was worth mentioning.
2f386cca-95aa-44f9-95bd-c028ecd47997,I am planning to travel next month.,I am planning to travel next month.
83752f6c-14ea-475b-b268-34d728bab5b0,The laptop battery drains very quickly.,The laptop battery drains very quickly. It was a memorable experience overall.
b77a9b26-475f-4593-82ba-1e1f52d66a36,The movie was fantastic and enjoyable.,The movie was really fantastic and enjoyable.
b2b6ba44-b693-4177-a024-868e28f1400e,The service at the hotel was terrible.,The service at the hotel was really super bad.
24d23b9b-ba11-4a17-b7c0-f169ef87039c,She completed her assignment on time.,She completed her assignment on time. It was a memorable experience overall.
dbc58fef-6f9a-4f14-b453-d6454defe86f,The food in that restaurant was delicious.,The food in that restaurant was tasty.
f0e01ac3-254f-4afa-9cb1-a401bca4c861,He bought a new phone yesterday.,He bought a new phone yesterday.
e5c58509-4e34-40ed-a5f0-bb54a1d56729,The laptop battery drains very quickly.,The laptop battery drains very quickly. It was a memorable experience overall.
d413397a-9bfa-4c7f-bf61-c7a9199af5a7,I am planning to travel next month.,I am planning to travel
6023c274-b7e8-4f90-a4dc-6c8d897f95fe,The food in that restaurant was delicious.,"In summary, The food in that restaurant proved to be delicious."
02ba8499-14df-4130-a838-6acdb2e95ccb,He bought a new phone yesterday.,He bought a new phone yesterday. It was a memorable experience overall.
87f6d8e6-94a1-48ce-ac7f-4104004c1773,She completed her assignment on time.,She completed her assignment on
18e1e332-42c1-42c7-a099-36376724d8ce,I need help with my machine learning project.,I need help with my machine learning project.
33a24331-cd2d-4712-809b-a20ca71ac74e,She completed her assignment on time.,She completed her assignment on time. It was a memorable experience overall.
e5335f2c-48a2-4c11-98ea-1c8e0434d972,I am planning to travel next month.,"In summary, I am currently planning to travel next month."
bd543a7f-b13e-48f9-8832-779039b34c52,The laptop battery drains very quickly.,The laptop battery drains very quickly. This happened recently and I felt it was worth mentioning.
c4874a37-4306-4ee0-8aa7-c12581e11914,I need help with my machine learning project.,I need help with my machine learning project. This happened recently and I felt it was worth mentioning.
44ce675d-7bbe-46f9-a187-ec44b10aa410,She completed her assignment on time.,She completed her assignment on time. This happened recently and I felt it was worth mentioning.
4fec4c80-e550-40b4-894b-a4e0b43098dd,The laptop battery drains very quickly.,The laptop battery runs out fast.
d81f79a9-3c05-405d-b051-1922716ebc91,He bought a new phone yesterday.,He bought a new phone yesterday.
e858f5db-7fce-44cf-8442-92eb015c3444,The food in that restaurant was delicious.,The food in that restaurant was really delicious.
4e289ce1-fa89-4274-aabc-2dac155132eb,He bought a new phone yesterday.,He bought a new phone
188b8b15-270f-4007-a125-717e45f7f576,She completed her assignment on time.,She completed her assignment on time.
aa38ff2b-732c-48f3-9d86-752c4dc0a4ef,I need help with my machine learning project.,I need help with my machine learning project
f2861c3a-2473-467b-88f3-b89ce332232e,I am planning to travel next month.,"In summary, I am currently planning to travel next month."
2e2ea1ff-deff-4f8f-ad51-bb4bacb7b3c2,I need help with my machine learning project.,I need help with my machine learning project
03804960-a0da-4f17-b928-55c92edcce5d,He bought a new phone yesterday.,He bought a new phone yesterday
7907b0cc-09b9-42bb-9910-e7156200fede,The product exceeded my expectations.,"In summary, The product exceeded my expectations."
a7041d49-2efc-41dd-950c-0dbeba7a0400,She completed her assignment on time.,"In summary, She completed her assignment on time."
9dcda3eb-575c-4a98-801c-5f300f15fdf0,I am planning to travel next month.,I am planning to travel next month. It was a memorable experience overall.
04244e9d-de2c-4aa1-aaab-c3b71e4551be,He bought a new phone yesterday.,He bought a new phone yesterday. It was a memorable experience overall.
b5257f65-eeb9-4eab-aa8a-80231b1c443c,The laptop battery drains very quickly.,The laptop battery drains very
fa3c5258-8558-4b58-a463-350170522cf5,The weather is cold and gloomy today.,The weather is cold and gloomy today. This happened recently and I felt it was worth mentioning.
18f39d5e-f71e-481d-bddb-1387ad8e3269,She completed her assignment on time.,"In summary, She completed her assignment on time."
40e98a4d-976c-44c6-aef3-95b9e04b14f4,The food in that restaurant was delicious.,The food in that restaurant was delicious. This happened recently and I felt it was worth mentioning.
cec54a31-3833-486f-a2a6-9237d4e81407,She completed her assignment on time.,"In summary, She completed her assignment on time."
669e28d1-3a7c-4573-81c3-bbc45ffed5bc,The weather is cold and gloomy today.,The weather is cold and gloomy today. This happened recently and I felt it was worth mentioning.
5dba819f-6761-43dc-901c-5110e3ada75a,The weather is cold and gloomy today.,The weather is cold and gloomy today. This happened recently and I felt it was worth mentioning.
f88eea83-d85d-49b1-80ce-e8f87ae48386,She completed her assignment on time.,She completed her assignment on time.
3dab1709-d7af-4eee-8f91-6b1186ceb3b6,She completed her assignment on time.,She completed her assignment on time. It was a memorable experience overall.
4f2ecd87-62e7-4617-8f1c-278ca2e8593e,She completed her assignment on time.,She completed her assignment on time. It was a memorable experience overall.
d8cb96a1-d2b7-40dd-adbf-50d244586a15,He bought a new phone yesterday.,He bought a new phone yesterday. This happened recently and I felt it was worth mentioning.
518ba2d3-cff1-4cd1-a100-d66e6b683408,The product exceeded my expectations.,The product exceeded my expectations. It was a memorable experience overall.
655f4fa8-f670-41bd-a5fb-f8234437fbf5,The laptop battery drains very quickly.,The laptop battery drains very quickly.
6a2d4c86-c34a-4b54-8970-ba3932f54eb6,He bought a new phone yesterday.,He bought a new phone yesterday. It was a memorable experience overall.
113ab00b-1307-4f27-a6cd-0f497eb918ed,I am planning to travel next month.,I am planning to travel next month. It was a memorable experience overall.
a5e30b56-1455-4738-b7ea-72ed2f05e3d0,I need help with my machine learning project.,"In summary, I need help with my machine learning project."
f7d69a41-147c-468b-b696-548e22c97311,She completed her assignment on time.,"In summary, She completed her assignment on time."
ad0547c2-98d5-466f-8448-062c2c2bf9b1,He bought a new phone yesterday.,"In summary, He bought a new phone yesterday."
2dc00129-46bd-4063-beb3-960e00c74743,I need help with my machine learning project.,I need help with my
62fbed32-85dc-4b34-b6af-c4fce1c0d5a1,The food in that restaurant was delicious.,The food in that restaurant was delicious. It was a memorable experience overall.
750d658f-61ef-49af-bd5b-6acef630b973,She completed her assignment on time.,She completed her assignment on
27b10719-1e60-435c-875a-21342fd5ec26,The food in that restaurant was delicious.,The food in that restaurant was delicious
70b8a7a9-3d73-4609-9763-a59fce9889b7,The weather is cold and gloomy today.,The weather is cold and gloomy today. This happened recently and I felt it was worth mentioning.
2bc99971-6a55-4cf3-a29f-6162d20df087,The product exceeded my expectations.,The product exceeded my expectations.
8037a2e8-d81a-4717-859b-178852f7b980,The movie was fantastic and enjoyable.,The movie was fantastic and enjoyable. This happened recently and I felt it was worth mentioning.
137e335a-e688-4142-a1b3-a96dfc9f7cbf,The movie was fantastic and enjoyable.,The movie was really fantastic and enjoyable.
291c8407-0394-4004-8a0b-cc925e8e083c,The product exceeded my expectations.,The product exceeded my expectations
815baf02-004b-4f9e-b834-7f647b4fabe0,The laptop battery drains very quickly.,The laptop battery runs out fast.
c6143d4f-ed16-4ec2-a215-b7b324e9585c,The product exceeded my expectations.,The product exceeded my expectations.
fb53b167-50e9-4b34-9fcf-65219b21ffbd,The movie was fantastic and enjoyable.,"In summary, The movie proved to be fantastic and enjoyable."
9007d1a2-8b19-4ebe-bb24-f690cad007e3,I need help with my machine learning project.,I need help with my machine learning project.
79c4ac6f-6abd-4d37-a312-7dfaaa22e794,She completed her assignment on time.,She completed her assignment on time.
98a80f43-ff8c-49d0-af2a-a85eabd1f08a,The movie was fantastic and enjoyable.,The movie was fantastic and enjoyable. It was a memorable experience overall.
135568ca-6614-4c93-a72e-91d6a7e6cdcf,He bought a new phone yesterday.,He bought a new phone yesterday.
00e912e2-8433-464c-8aea-45531e1d1fec,The product exceeded my expectations.,The product was better than expected.
73b3d86d-2622-47c9-b61d-0425de764df2,The weather is cold and gloomy today.,The weather is cold and
2f6ae0cd-10c5-4d03-b35a-95adee708ac0,She completed her assignment on time.,She completed her assignment on time
8d05fb44-667f-4dd0-9a50-ffb4e45a5b65,I am planning to travel next month.,I am planning to travel next month
916f06bb-2304-427d-9546-32c499c6b751,He bought a new phone yesterday.,He bought a new phone
3bcd0237-e8ec-404e-9087-48ad833abe3c,The laptop battery drains very quickly.,The laptop battery drains very
289641d1-f382-4d2e-abc1-32f25edc95f3,The product exceeded my expectations.,The product exceeded my expectations. It was a memorable experience overall.
bd4b07cd-b1b9-4f4a-b07a-ab5a90494578,The service at the hotel was terrible.,The service at the hotel was terrible. It was a memorable experience overall.
a575a5c7-7196-4037-ae18-9f59f6d04066,The laptop battery drains very quickly.,The laptop battery drains very quickly
28bc4881-f835-4234-a1a2-c7b4d7e6a5d3,The movie was fantastic and enjoyable.,The movie was amazing and fun.
122fb2d7-7ce3-4799-847f-07ad264ba141,She completed her assignment on time.,She completed her assignment on time. This happened recently and I felt it was worth mentioning.
59bb8d07-9b86-45f3-a8d8-1b45ed7af4d9,I am planning to travel next month.,I am planning to travel next month. It was a memorable experience overall.
867b7f4b-a3af-4d53-a508-0dd9c5dfdba6,I am planning to travel next month.,I am planning to travel next month. It was a memorable experience overall.
